latitude,longitude,elevation in feet,key saddle latitude,key saddle longitude,prominence in feet,isolation latitude,isolation longitude,isolation in km
-13.8717,-73.7433,13671,-13.9392,-73.7542,1582,-13.9417,-73.6967,9.2424
-12.7417,-75.6608,16781,-12.6983,-75.6808,1575,-12.7508,-75.5400,13.1608
-10.5658,-75.3283,10597,-10.5333,-75.3492,1575,-10.4900,-75.3658,9.3386
-9.5792,-77.3092,18654,-9.5517,-77.3033,1574,-9.5300,-77.3075,5.4387
-13.2375,-72.4733,15360,-13.2425,-72.4833,1574,-13.2542,-72.4967,3.1295
-9.1708,-76.5600,10662,-9.1617,-76.5825,1571,-9.1817,-76.6192,6.6117
-11.5158,-75.4275,16181,-11.5408,-75.4692,1569,-11.4833,-75.4758,6.3817
-9.1383,-78.2283,3188,-9.1225,-78.2217,1568,-9.1042,-78.1958,5.2005
-8.5092,-76.7333,13428,-8.5567,-76.8633,1568,-8.7108,-76.6092,26.1580
-12.8550,-74.6533,13428,-12.8592,-74.6783,1565,-12.9025,-74.6475,5.2930
-8.7350,-76.5992,13562,-8.7425,-76.6192,1564,-8.7675,-76.6325,5.1357
-9.3600,-76.0267,5649,-9.3467,-76.0058,1562,-9.3800,-75.9917,4.4353
-8.0433,-77.5908,12795,-8.0517,-77.5758,1562,-8.0908,-77.5733,5.5962
-13.5025,-72.5592,12463,-13.4783,-72.5542,1561,-13.4592,-72.5558,4.8077
-8.1808,-77.2983,13786,-8.1683,-77.2675,1559,-8.2150,-77.2708,4.8430
-9.2758,-77.4325,18697,-9.2650,-77.4550,1558,-9.2692,-77.4717,4.3513
-13.1950,-73.8733,12611,-13.1867,-73.9050,1558,-13.1767,-73.9208,5.5333
-13.3442,-72.4392,16784,-13.3475,-72.4175,1555,-13.3317,-72.3825,6.2925
-11.5533,-76.6625,13133,-11.5233,-76.6317,1555,-11.5525,-76.6142,5.2734
-10.6783,-76.6717,17332,-10.8142,-76.6075,1548,-10.5225,-76.7175,17.9517
